Rank,Title,Employees,Sector,Industry,Hqcity,Ceo,Ceo-title,Revenues,Revchange,Profits,Prftchange,Assets
1,Walmart,2300000,Retailing,General Merchandisers,Bentonville,C. Douglas McMillon,"President, Chief Executive Officer & Director",485873,0.8,13643,-7.2,198825
2,Berkshire Hathaway,367700,Financials,Insurance: Property and Casualty (Stock),Omaha,Warren E. Buffett,Chairman & Chief Executive Officer,223604,6.1,24074,0,620854
3,Apple,116000,Technology,"Computers, Office Equipment",Cupertino,Timothy D. Cook,Chief Executive Officer & Director,215639,-7.7,45687,-14.4,321686
4,Exxon Mobil,72700,Energy,Petroleum Refining,Irving,Darren W. Woods,Chairman & Chief Executive Officer,205004,-16.7,7840,-51.5,330314
5,McKesson,68000,Wholesalers,Wholesalers: Health Care,San Francisco,John H. Hammergren,"Chairman, President & Chief Executive Officer",192487,6.2,2258,53,56563
6,UnitedHealth Group,230000,Health Care,Health Care: Insurance and Managed Care,Minnetonka,Stephen J. Hemsley,Chief Executive Officer & Director,184840,17.7,7017,20.7,122810
7,CVS Health,204000,Health Care,Health Care: Pharmacy and Other Services,Woonsocket,Larry J. Merlo,"President, Chief Executive Officer & Director",177526,15.8,5317,1.5,94462
8,General Motors,225000,Motor Vehicles & Parts,Motor Vehicles and Parts,Detroit,Mary T. Barra,Chairman & Chief Executive Officer,166380,9.2,9427,-2.7,221690
9,AT&T,268540,Telecommunications,Telecommunications,Dallas,Randall L. Stephenson,"Chairman, President & Chief Executive Officer",163786,11.6,12976,-2.8,403821
10,Ford Motor,201000,Motor Vehicles & Parts,Motor Vehicles and Parts,Dearborn,James P. Hackett,"President, Chief Executive Officer & Director",151800,1.5,4596,-37.7,237951
11,AmerisourceBergen,18500,Wholesalers,Wholesalers: Health Care,Chesterbrook,Steven H. Collis,"Chairman, President & Chief Executive Officer",146850,8,1427.9,-37.7,33656
12,Amazon.com,341400,Technology,Internet Services and Retailing,Seattle,Jeffrey P. Bezos,"Chairman, President & Chief Executive Officer",135987,27.1,2371,297.8,83402
13,General Electric,295000,Industrials,Industrial Machinery,Boston,Jeffrey R. Immelt,Chairman & Chief Executive Officer,126661,-9.8,8831,297.8,365183
14,Verizon,160900,Telecommunications,Telecommunications,New York,Lowell C. McAdam,Chairman & Chief Executive Officer,125980,-4.3,13127,-26.6,244180
15,Cardinal Health,37300,Wholesalers,Wholesalers: Health Care,Dublin,George S. Barrett,Chairman & Chief Executive Officer,121546,18.5,1427,17.4,34122
16,Costco,172000,Retailing,General Merchandisers,Issaquah,W. Craig Jelinek,"President, Chief Executive Officer & Director",118719,2.2,2350,-1.1,33163
17,Walgreens Boots Alliance,300000,Food & Drug Stores,Food and Drug Stores,Deerfield,Stefano Pessina,"President, Chief Executive Officer & Director",117351,13.4,4173,-1.1,72688
18,Kroger,443000,Food & Drug Stores,Food and Drug Stores,Cincinnati,W. Rodney McMullen,Chairman & Chief Executive Officer,115337,5,1975,-3.1,36505
19,Chevron,55200,Energy,Petroleum Refining,San Ramon,John S. Watson,Chairman & Chief Executive Officer,107567,-18,-497,-110.8,260078
20,Fannie Mae,7000,Financials,Diversified Financials,Washington,Timothy J. Mayopoulos,"President, Chief Executive Officer & Director",107162,-2.9,12313,12.4,3287968
21,J.P. Morgan Chase,243355,Financials,Commercial Banks,New York,James Dimon,"Chairman, President & Chief Executive Officer",105486,4.4,24733,1.2,2490972
